#OMP | Time/step [s] | eff | shake | eff | force | eff | lists | eff
1 24.1442 1.0000 4.8166 1.0000 8.6994 1.0000 5.4282 1.0000
2 18.3150 0.6591 2.6923 0.8945 4.8552 0.8959 5.4751 0.4957
4 14.6990 0.4106 1.3313 0.9045 2.4545 0.8861 5.4523 0.2489
8 12.5558 0.2404 0.6621 0.9093 1.2226 0.8894 5.4378 0.1248
16 11.5904 0.1302 0.3632 0.8288 0.6970 0.7801 5.4706 0.0620
32 11.3832 0.0663 0.1973 0.7629 0.5891 0.4615 5.4706 0.0310
60 11.4414 0.0352 0.1247 0.6437 0.7578 0.1913 5.4467 0.0166
120 12.0180 0.0167 0.0939 0.4275 1.3341 0.0543 5.4646 0.0083
240 13.4978 0.0075 0.1014 0.1978 2.5741 0.0141 5.5193 0.0041
